district,price,GrossSquareMeters,NumberFloorsofBuilding,ItemStatus,NumberOfBathrooms,NumberOfRooms,FloorLocation
0,0.7738693467336683,0.16754478398314016,3,1,2,5,52
0,0.3969849246231155,0.12539515279241306,3,1,1,3,40
0,0.8115577889447235,0.4204425711275026,3,0,5,21,39
0,0.7110552763819095,0.2623814541622761,2,0,2,10,47
0,0.5477386934673366,0.13066385669125397,3,1,2,4,0
0,0.24623115577889446,0.14646996838777662,2,0,2,3,41
0,0.7273869346733668,0.13593256059009484,2,1,2,3,45
0,0.21733668341708542,0.07797681770284509,3,1,1,1,40
0,0.6482412060301507,0.2623814541622761,2,0,3,12,41
0,0.7738693467336683,0.2623814541622761,3,0,0,0,41
0,0.8115577889447235,0.1886195995785037,3,0,1,5,12
1,0.12437185929648242,0.10432033719704951,4,1,1,3,39
1,0.24623115577889446,0.20969441517386722,5,0,2,8,51
1,0.1221105527638191,0.10432033719704951,5,0,2,3,39
1,0.1871859296482412,0.1886195995785037,2,0,2,7,12
1,0.1871859296482412,0.1886195995785037,2,0,2,7,12
1,0.11557788944723618,0.08851422550052686,4,0,1,1,50
1,0.17462311557788945,0.1095890410958904,4,0,1,3,12
1,0.20854271356783918,0.16754478398314016,5,0,1,6,34
1,0.2839195979899497,0.23603793466807166,5,0,2,8,51
1,0.16080402010050251,0.1095890410958904,5,0,1,3,34
1,0.9999999999999999,0.3677555321390938,4,0,3,8,47
1,0.18090452261306533,0.10432033719704951,5,0,1,3,12
1,0.15201005025125627,0.10432033719704951,4,0,1,3,41
1,0.19597989949748743,0.16754478398314016,5,1,1,6,34
1,0.14321608040201006,0.09905163329820864,5,0,1,3,12
1,0.15829145728643215,0.09905163329820864,4,0,1,3,12
1,0.20854271356783918,0.09378292939936775,6,0,1,3,39
1,0.2839195979899497,0.3677555321390938,1,0,1,3,45
1,0.10050251256281408,0.10432033719704951,4,0,1,3,40
1,0.17964824120603015,0.10432033719704951,5,0,2,3,0
1,0.2839195979899497,0.23076923076923075,5,0,2,8,34
1,0.24623115577889446,0.19915700737618547,5,0,1,8,52
1,0.17587939698492464,0.10432033719704951,5,0,1,3,0
1,0.13819095477386936,0.08851422550052686,4,0,1,3,50
1,0.3090452261306532,0.27291886195995785,4,0,2,15,32
1,0.2135678391959799,0.1780821917808219,4,0,1,6,32
1,0.16457286432160803,0.09905163329820864,4,0,1,3,0
1,0.13442211055276382,0.09378292939936775,4,0,1,3,12
1,0.23366834170854273,0.14646996838777662,4,0,1,5,32
1,0.13819095477386936,0.1095890410958904,4,0,1,3,50
1,0.2839195979899497,0.31822971548998946,1,0,1,5,45
1,0.4949748743718593,0.20337197049525815,5,0,1,7,45
1,0.0942211055276382,0.09905163329820864,4,0,1,3,40
1,0.2449748743718593,0.19388830347734456,3,0,2,8,24
1,0.20477386934673367,0.220231822971549,4,0,2,8,51
1,0.157035175879397,0.13066385669125397,4,1,1,3,12
1,0.10804020100502512,0.10432033719704951,5,0,1,3,34
1,0.2449748743718593,0.20969441517386722,4,0,3,8,32
1,0.14195979899497488,0.12539515279241306,4,0,1,5,50
1,0.23115577889447236,0.09905163329820864,14,0,1,3,12
1,0.12562814070351758,0.05690200210748155,4,0,1,1,50
1,0.1708542713567839,0.09378292939936775,6,0,1,3,12
1,0.2185929648241206,0.08851422550052686,5,0,1,3,12
1,0.3153266331658291,0.1833508956796628,5,0,2,6,34
1,0.10050251256281408,0.07270811380400422,5,0,1,1,12
1,0.27135678391959794,0.12539515279241306,1,0,1,5,40
1,0.4974874371859296,0.12539515279241306,5,0,1,5,45
1,0.1771356783919598,0.1095890410958904,5,0,1,3,12
1,0.21482412060301506,0.12012644889357217,5,0,1,5,12
1,0.21482412060301506,0.12012644889357217,5,0,1,5,0
1,0.23366834170854273,0.09905163329820864,11,0,1,3,36
1,0.12688442211055276,0.09905163329820864,4,0,1,3,50
1,0.1027638190954774,0.1095890410958904,6,0,1,3,52
1,0.13442211055276382,0.13593256059009484,6,0,1,5,43
1,0.29648241206030146,0.20969441517386722,4,0,2,8,39
1,0.2135678391959799,0.14646996838777662,4,0,1,5,12
1,0.15050251256281408,0.10432033719704951,5,0,1,3,0
1,0.33417085427135673,0.2623814541622761,5,0,2,15,32
1,0.13316582914572864,0.12012644889357217,7,0,1,5,40
1,0.18341708542713567,0.10432033719704951,4,0,1,3,12
1,0.42211055276381904,0.2992623814541623,2,0,4,15,41
1,0.1708542713567839,0.19388830347734456,5,0,2,6,41
1,0.1771356783919598,0.1886195995785037,5,0,2,5,32
1,0.0829145728643216,0.0,2,0,1,5,45
1,0.1708542713567839,0.08324552160168598,5,0,1,3,50
1,0.12060301507537688,0.11485774499473128,5,0,1,3,12
1,0.717587688442211,0.220231822971549,3,0,2,11,41
1,0.16331658291457288,0.10432033719704951,4,0,1,3,0
1,0.22613065326633167,0.11169652265542676,5,0,2,3,34
1,0.16457286432160803,0.1780821917808219,4,0,1,5,52
1,0.07412060301507538,0.08851422550052686,5,0,1,3,40
1,0.19597989949748743,0.14120126448893572,6,0,1,5,12
1,0.2587939698492462,0.23076923076923075,4,0,2,8,51
1,0.44723618090452255,0.285563751317176,3,0,3,5,45
1,0.19597989949748743,0.1780821917808219,4,0,2,8,24
1,0.22110552763819094,0.1833508956796628,4,0,1,5,0
1,0.23366834170854273,0.13593256059009484,4,0,1,3,0
1,0.11180904522613065,0.13382507903055849,7,0,4,1,51
1,0.19597989949748743,0.21390937829293993,2,0,2,3,45
1,0.06482412060301508,0.09905163329820864,5,0,1,1,41
1,0.1984924623115578,0.19388830347734456,3,0,2,6,51
1,0.4949748743718593,0.3698630136986301,2,0,2,6,45
1,0.15829145728643215,0.14646996838777662,4,0,1,5,41
1,0.9874371859296482,0.6206533192834562,4,0,4,16,41
